,Date,Open,High,Low,Close,Adj Close,Volume,%K,%D,RSI,ADX,EMA_8,EMA_21,EMA_34,EMA_55,EMA_89,SMA_50,SMA_100,SMA_200,ATR,UpperBand1,LowerBand1,UpperBand2,LowerBand2,UpperBand3,LowerBand3,date
251,2023-01-03,3853.2900390625,3878.4599609375,3794.330078125,3824.139892578125,3824.139892578125,3959140000,47.594243326216706,58.365864617909985,38.691847935149795,15.389280425456446,3838.92,3877.15,3887.29,3889.86,3902.83,3901.43,3898.71,4005.44,68.9088585083347,3946.06,3808.24,4014.97,3739.33,4083.88,3670.42,19360.0
252,2023-01-04,3840.360107421875,3873.159912109375,3815.77001953125,3852.969970703125,3852.969970703125,4414080000,77.63446802950168,61.69289261681441,72.8924822651566,14.922062593449636,3842.04,3874.95,3885.33,3888.54,3901.71,3903.44,3895.17,4002.39,68.36033632118185,3943.31,3806.59,4011.67,3738.23,4080.03,3669.87,19361.0
253,2023-01-05,3839.739990234375,3839.739990234375,3802.419921875,3808.10009765625,3808.10009765625,3893450000,27.9689675253751,51.065892960364486,26.637893247876747,14.748638087957678,3834.5,3868.87,3880.91,3885.67,3899.63,3903.65,3890.45,3999.12,67.51222739294106,3936.38,3801.36,4003.89,3733.85,4071.41,3666.33,19362.0
254,2023-01-06,3823.3701171875,3906.18994140625,3809.56005859375,3895.080078125,3895.080078125,3923560000,91.14116014086619,65.58153189858098,78.79817028781122,14.080074233461659,3847.96,3871.25,3881.72,3886.01,3899.53,3904.37,3886.43,3996.04,68.96830436232482,3940.22,3802.28,4009.19,3733.31,4078.15,3664.35,19363.0
255,2023-01-09,3910.820068359375,3950.570068359375,3890.419921875,3892.090087890625,3892.090087890625,4311770000,65.5574727518477,61.555866806029655,75.12587094878168,14.238615997607619,3857.77,3873.15,3882.31,3886.22,3899.36,3905.6,3882.3,3993.22,68.54839208242245,3941.7,3804.6,4010.25,3736.05,4078.8,3667.5,19366.0
256,2023-01-10,3888.570068359375,3919.830078125,3877.2900390625,3919.25,3919.25,3851030000,79.95387204492788,78.88416831254725,86.5302275165267,14.087830588640058,3871.43,3877.34,3884.43,3887.4,3899.8,3907.84,3878.75,3990.21,67.30989908147376,3944.65,3810.03,4011.96,3742.72,4079.27,3675.41,19367.0
257,2023-01-11,3932.35009765625,3970.070068359375,3928.5400390625,3969.610107421875,3969.610107421875,4303360000,99.73827189993206,81.74987223223587,95.01164571739415,14.766221931792415,3893.25,3885.73,3889.29,3890.34,3901.36,3909.21,3875.61,3987.35,66.52466904708811,3952.25,3819.21,4018.78,3752.68,4085.3,3686.16,19368.0
258,2023-01-12,3977.570068359375,3997.760009765625,3937.56005859375,3983.169921875,3983.169921875,4440260000,92.82795418896393,90.84003271127462,96.27479675905809,15.792501755343626,3913.23,3894.59,3894.66,3893.66,3903.18,3911.43,3873.16,3984.39,66.22349200541129,3960.81,3828.37,4027.04,3762.14,4093.26,3695.92,19369.0
259,2023-01-13,3960.60009765625,4003.949951171875,3947.669921875,3999.090087890625,3999.090087890625,3939700000,97.58851656092854,96.7182475499415,97.66385735676948,16.828735217573666,3932.31,3904.09,3900.62,3897.42,3905.32,3914.29,3871.77,3981.22,65.74999378119527,3969.84,3838.34,4035.59,3772.59,4101.34,3706.84,19370.0
260,2023-01-17,3999.280029296875,4015.389892578125,3984.570068359375,3990.969970703125,3990.969970703125,4235560000,88.53363138738429,92.98336737909226,70.75150757596633,17.95492522106961,3945.35,3911.98,3905.79,3900.76,3907.23,3918.92,3870.39,3978.17,64.08665237345978,3976.07,3847.89,4040.15,3783.81,4104.24,3719.72,19374.0
261,2023-01-18,4002.25,4014.159912109375,3926.590087890625,3928.860107421875,3928.860107421875,4298710000,57.96052327243354,81.36089040691546,13.565700822567663,17.516188885136884,3941.68,3913.52,3907.11,3901.77,3907.71,3923.1,3868.27,3975.16,65.20489865180694,3978.72,3848.32,4043.93,3783.11,4109.13,3717.91,19375.0
262,2023-01-19,3911.840087890625,3922.93994140625,3885.5400390625,3898.85009765625,3898.85009765625,3991500000,15.611934440836054,54.035363033551285,7.616615901826847,16.240687868523374,3932.16,3912.19,3906.63,3901.66,3907.51,3925.66,3865.27,3971.92,64.16276387597685,3976.35,3848.03,4040.52,3783.86,4104.68,3719.7,19376.0
263,2023-01-20,3909.0400390625,3972.9599609375,3897.860107421875,3972.610107421875,3972.610107421875,4013360000,69.02257021481215,47.53167597602724,70.72511979237213,15.95833019827277,3941.15,3917.68,3910.4,3904.2,3908.96,3928.98,3864.42,3968.87,64.68357766834104,3982.36,3853.0,4047.05,3788.31,4111.73,3723.63,19377.0
264,2023-01-23,3978.139892578125,4039.31005859375,3971.639892578125,4019.81005859375,4019.81005859375,3945210000,87.31872437849492,57.31774301138103,84.38063299847781,16.668878886741197,3958.63,3926.96,3916.66,3908.33,3911.43,3932.81,3864.31,3966.35,64.82579616106885,3991.79,3862.13,4056.61,3797.31,4121.44,3732.48,19380.0
265,2023-01-24,4001.739990234375,4023.919921875,3989.7900390625,4016.949951171875,4016.949951171875,3320430000,85.45873409521752,80.60000956284152,79.86577198775628,17.324769983788975,3971.59,3935.14,3922.39,3912.21,3913.78,3938.18,3864.62,3964.02,63.364086001613195,3998.5,3871.78,4061.87,3808.41,4125.23,3745.05,19381.0
